state,county,tract,B08134_022E,B08134_023E,B08134_024E,B08134_025E,B08134_026E,B08134_027E,B08134_028E,B08134_029E,B08134_030E,B08134_032E,B08134_033E,B08134_034E,B08134_035E,B08134_036E,B08134_037E,B08134_038E,B08134_039E,B08134_040E,B08134_062E,B08134_063E,B08134_064E,B08134_065E,B08134_066E,B08134_067E,B08134_068E,B08134_069E,B08134_070E,B08134_102E,B08134_103E,B08134_104E,B08134_105E,B08134_106E,B08134_107E,B08134_108E,B08134_109E,B08134_110E,B08134_112E,B08134_113E,B08134_114E,B08134_115E,B08134_116E,B08134_117E,B08134_118E,B08134_119E,B08134_120E
48,013,960300,96,199,213,27,0,78,95,245,98,0,60,82,34,0,23,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,013,960401,32,22,29,14,46,135,31,67,33,0,18,8,16,0,31,8,11,125,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,10
48,013,960402,1057,578,164,139,20,72,204,393,102,45,43,29,0,0,0,21,101,126,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,013,960500,175,51,114,213,48,66,4,12,131,27,1,0,22,0,44,0,90,55,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,013,960600,443,370,233,211,66,161,24,107,355,66,33,98,16,2,122,0,25,14,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
48,015,760100,110,69,129,128,80,110,98,110,215,13,0,4,0,0,4,8,9,11,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,015,760200,292,186,280,309,94,169,47,201,412,96,19,15,1,13,69,0,44,81,0,0,0,0,0,0,0,0,16,31,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
48,015,760300,690,573,424,467,60,226,90,222,513,45,38,0,33,0,78,28,14,46,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
48,015,760400,151,207,217,95,100,279,42,22,132,0,0,6,9,10,20,26,1,50,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5
48,015,760501,190,169,392,127,16,101,27,132,403,0,15,12,91,0,0,6,12,19,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
