state,county,tract,B14003_005E,B14003_006E,B14003_007E,B14003_008E,B14003_009E,B14003_010E,B14003_011E,B14003_014E,B14003_015E,B14003_016E,B14003_017E,B14003_018E,B14003_019E,B14003_020E,B14003_023E,B14003_024E,B14003_025E,B14003_026E,B14003_027E,B14003_028E,B14003_029E,B14003_033E,B14003_034E,B14003_035E,B14003_036E,B14003_037E,B14003_038E,B14003_039E,B14003_042E,B14003_043E,B14003_044E,B14003_045E,B14003_046E,B14003_047E,B14003_048E,B14003_051E,B14003_052E,B14003_053E,B14003_054E,B14003_055E,B14003_056E,B14003_057E
48,113,007604,51,23,38,0,22,0,11,112,131,59,37,38,0,0,12,0,0,0,44,65,959,35,32,18,29,30,0,0,102,75,76,31,19,0,8,0,0,0,0,17,41,1044
48,113,007605,0,0,0,0,0,0,0,49,95,45,11,0,0,0,0,0,0,0,0,37,596,24,3,3,0,6,0,15,24,45,44,11,8,7,0,6,6,0,0,17,44,776
48,113,007700,0,14,16,0,0,18,0,143,57,39,0,13,16,0,0,0,0,0,0,152,1655,0,26,15,0,0,55,13,75,29,40,0,17,0,11,0,0,0,0,63,178,1971
48,113,007801,12,4,0,26,0,0,0,0,25,8,0,0,52,0,0,0,0,0,10,74,766,14,2,5,0,0,0,15,13,0,12,33,25,0,13,0,0,0,0,10,124,881
48,113,007804,284,15,42,60,180,44,56,0,0,0,0,93,23,0,0,0,0,0,73,371,805,37,219,71,106,171,43,38,0,0,0,0,60,67,0,18,0,0,0,309,519,1158
48,113,007805,93,47,52,23,6,9,9,40,0,0,9,0,10,17,0,0,0,0,13,140,1177,114,49,46,32,91,0,36,10,0,0,0,0,24,0,31,0,0,0,20,138,923
48,113,007809,31,28,22,0,0,0,0,22,11,0,0,0,27,12,28,0,0,0,11,117,659,36,64,0,0,6,19,7,10,32,8,0,0,0,0,0,0,0,0,78,188,670
48,113,007810,136,64,34,31,0,0,8,15,19,0,9,0,0,0,0,0,0,0,72,228,913,126,68,39,48,44,8,11,26,24,19,11,0,5,0,0,0,0,0,36,267,1043
48,113,007811,264,98,136,0,0,36,1,0,0,27,15,0,0,0,0,0,0,0,306,489,1178,156,268,38,90,61,33,83,28,0,0,0,14,29,0,0,0,0,26,257,668,778
48,113,007812,31,51,51,11,0,13,18,52,36,31,0,0,0,0,0,0,0,0,11,128,980,41,52,18,0,20,0,7,89,10,0,30,0,0,0,0,0,0,0,0,94,1003
48,113,007815,350,330,65,52,90,31,13,0,0,0,0,0,7,10,33,17,29,18,132,469,698,160,235,82,77,16,29,43,7,0,0,0,0,11,0,0,0,0,22,76,485,616
48,113,007818,180,92,98,27,0,23,56,20,0,0,11,0,61,0,113,0,32,23,198,828,1140,239,157,57,0,30,12,11,0,0,0,0,0,0,17,0,0,0,60,171,538,859
48,113,007819,65,39,0,10,8,61,0,0,0,0,0,0,10,9,0,0,0,0,65,332,443,40,70,13,6,61,49,8,0,0,0,0,0,10,0,19,0,0,9,46,231,263
48,113,007820,348,218,131,69,106,16,28,0,0,0,0,0,28,0,36,0,0,62,387,578,1143,304,234,45,22,42,12,0,0,0,0,0,4,17,0,0,0,60,14,189,448,749
48,113,007821,159,37,52,0,29,0,19,0,0,0,0,0,0,29,0,0,0,0,165,560,475,73,112,40,12,59,74,0,27,0,0,0,0,0,0,0,0,0,15,178,389,590
48,113,007822,12,0,0,0,5,0,0,10,0,0,0,31,30,11,0,0,0,0,79,226,202,5,11,0,0,0,0,8,0,0,12,0,24,13,0,0,0,0,0,53,153,325
48,113,007823,25,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,21,72,212,76,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41,69,394
48,113,007824,36,29,17,5,8,0,6,10,5,3,12,0,13,0,0,0,0,0,48,54,618,11,58,33,7,13,9,0,0,4,0,0,0,0,0,14,0,0,0,8,113,465
48,113,007825,228,109,0,63,42,0,16,29,0,11,26,0,0,14,0,0,0,0,166,297,1477,117,201,80,0,0,0,16,30,11,14,0,0,16,0,0,0,73,0,199,336,1188
48,113,007826,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,13,0,21,72,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,92
48,113,007827,101,10,40,7,10,0,42,0,0,0,0,0,15,0,27,0,0,0,59,214,475,108,39,46,35,38,7,53,0,0,0,0,0,0,0,0,0,0,0,90,291,505
48,113,007902,45,105,0,15,22,14,26,24,0,0,0,0,15,15,0,0,0,13,108,420,1286,72,28,33,0,16,83,54,10,11,19,0,0,0,0,64,0,0,0,20,630,1449
48,113,007903,15,0,0,6,4,19,4,11,8,25,5,20,0,15,0,0,0,0,15,263,477,5,8,0,12,64,5,16,15,19,15,17,56,6,4,0,0,0,0,5,178,539
48,113,007906,106,99,38,8,0,0,0,12,30,36,0,0,0,0,0,0,0,0,13,87,709,106,77,25,24,9,0,0,10,15,0,0,0,25,0,0,0,0,0,4,121,865
48,113,007909,42,0,0,25,55,57,12,0,0,0,0,33,111,0,0,0,0,0,104,417,238,0,21,0,25,60,78,13,0,0,0,0,15,44,0,0,0,0,0,169,250,220
48,113,007910,0,0,9,0,124,65,15,0,0,0,0,30,41,15,0,0,0,0,89,633,683,18,38,0,16,122,134,0,0,0,0,0,157,75,0,9,0,0,0,88,421,241
48,113,007911,0,0,11,0,130,33,28,0,0,0,0,86,12,0,35,0,0,13,229,646,478,0,0,0,35,106,102,0,0,0,0,0,84,36,0,0,0,0,0,175,356,409
48,113,007912,0,0,11,0,36,27,8,0,16,0,0,0,0,0,0,0,0,0,25,319,282,0,0,8,0,50,62,7,0,0,0,0,51,31,0,0,0,0,0,182,249,345
48,113,007913,72,0,0,21,18,21,9,0,0,0,10,27,34,14,0,0,0,0,49,325,516,0,10,35,9,50,4,9,0,0,0,0,11,30,16,0,0,0,28,42,279,732
48,113,007914,0,0,0,18,48,96,11,0,0,0,7,321,10,36,0,0,0,11,83,360,365,0,0,0,0,92,14,0,39,0,0,90,361,32,0,0,0,0,0,107,156,437
48,113,008000,186,96,0,0,17,0,8,69,24,67,15,0,0,0,39,0,0,0,15,261,2188,142,121,29,0,34,16,59,154,114,14,0,0,0,8,54,0,0,0,43,342,2057
48,113,008100,75,112,44,79,0,24,0,87,82,34,0,0,0,0,0,0,0,0,6,446,1812,55,30,79,61,176,70,14,140,52,34,18,0,52,15,17,0,6,0,64,395,2167
48,113,008200,65,63,44,23,14,14,29,29,9,26,0,7,0,26,7,0,9,13,22,320,1157,161,183,73,0,40,29,87,43,33,0,0,0,7,0,14,0,0,0,51,210,1127
48,113,008400,290,444,413,204,124,64,0,0,0,0,0,0,0,0,17,0,36,28,117,645,2016,467,215,162,161,37,29,10,0,0,0,0,0,12,0,63,0,0,35,207,639,1873
48,113,008500,326,218,114,30,64,28,0,0,22,10,0,0,0,11,0,0,0,14,163,512,1141,204,247,116,89,20,19,0,17,0,9,0,0,0,0,0,25,0,29,171,358,1192
48,113,008603,22,48,5,0,0,0,0,0,0,0,0,0,0,0,8,6,11,0,58,60,181,116,105,61,2,6,0,8,0,0,0,0,0,0,0,8,0,0,11,20,89,268
48,113,008604,120,30,91,0,28,0,8,0,0,0,0,17,0,0,0,0,0,3,41,97,655,133,89,64,29,18,33,0,0,0,0,0,0,0,0,16,2,0,36,152,141,858
48,113,008701,99,156,17,9,31,0,5,0,7,9,0,0,0,0,0,20,0,0,50,89,612,287,106,136,69,0,20,10,0,0,0,9,0,0,27,0,20,11,11,249,381,1032
48,113,008703,61,107,72,9,75,0,0,0,13,0,0,0,0,0,47,0,0,0,51,128,750,143,117,58,9,14,27,7,0,6,0,0,24,0,6,0,0,0,78,80,100,698
48,113,008704,190,31,169,0,19,0,0,0,21,20,0,0,0,0,10,0,0,36,57,150,746,42,75,0,0,50,6,0,0,0,0,0,0,0,20,17,0,0,0,138,188,889
48,113,008705,59,27,15,28,9,0,10,0,0,0,0,0,0,0,0,0,0,14,25,62,311,54,40,0,4,40,5,17,10,0,0,0,0,0,0,0,0,0,0,68,74,431
48,113,008801,52,26,6,21,38,26,12,0,4,8,0,8,0,9,0,0,0,0,78,156,557,89,47,29,6,37,0,23,0,0,4,0,0,7,8,4,4,0,13,49,75,820
48,113,008802,226,155,143,24,10,11,8,0,9,0,0,0,0,0,0,0,0,53,352,387,1067,262,189,175,48,0,16,49,9,0,0,10,12,0,0,68,0,0,40,192,363,1369
48,113,008900,111,113,31,17,0,18,0,0,0,0,0,0,0,0,16,0,0,21,101,124,699,110,205,12,31,0,33,11,0,0,0,0,0,0,12,0,0,0,17,107,154,859
48,113,009000,333,334,151,108,77,30,0,47,0,22,39,0,0,24,0,0,11,0,145,526,1536,400,376,243,62,112,75,53,0,37,0,13,0,0,0,43,0,0,0,262,616,1638
48,113,009101,327,406,186,47,20,0,76,0,0,18,0,15,0,8,11,0,23,34,51,256,967,162,230,151,30,80,37,58,14,74,0,0,0,18,45,0,0,0,71,95,217,1210
48,113,009103,206,165,106,18,27,16,10,30,0,0,0,0,0,11,5,0,0,0,170,354,726,250,101,88,111,0,12,39,0,0,0,0,35,0,0,0,0,9,0,160,270,734
48,113,009104,124,127,118,30,47,25,0,7,7,0,0,0,0,0,0,0,0,8,179,293,800,126,140,84,23,18,7,9,0,0,0,0,0,0,0,13,0,0,30,262,183,785
48,113,009105,260,219,104,53,19,27,0,0,0,0,0,0,0,0,10,0,0,56,140,196,765,92,204,33,60,10,21,19,23,47,0,0,0,0,0,21,0,0,0,281,296,739
48,113,009201,225,346,247,108,26,26,0,11,0,18,5,0,0,12,8,0,0,22,268,433,1458,322,259,51,0,51,27,0,9,0,0,19,0,0,0,0,0,0,25,150,412,1450
48,113,009202,399,413,71,18,67,27,20,0,0,15,0,0,0,0,0,0,5,32,268,402,1015,222,252,187,70,23,12,81,0,17,0,0,0,0,0,9,0,8,78,155,437,963
48,113,009301,277,206,186,12,18,24,0,0,15,0,18,0,0,0,107,8,16,105,214,446,1223,321,161,137,0,74,0,16,0,8,0,0,23,0,0,8,0,10,43,150,461,994
