state,county,tract,C18108_003E,C18108_004E,C18108_005E,C18108_007E,C18108_008E,C18108_009E,C18108_011E,C18108_012E,C18108_013E
48,029,121809,87,20,1122,268,128,2678,79,155,422
48,029,121810,75,0,1615,101,35,2768,11,70,214
48,029,121811,0,31,1528,89,45,2864,59,74,124
48,029,121812,158,75,1560,269,131,3429,94,72,399
48,029,121813,11,17,263,75,46,939,15,47,129
48,029,121903,61,23,1179,182,220,2910,69,61,412
48,029,121904,0,12,1358,86,23,1921,11,15,156
48,029,121905,0,0,1582,197,99,3252,12,33,359
48,029,121906,31,0,1200,53,208,3246,88,114,299
48,029,121907,96,9,3458,112,166,6175,91,179,303
48,029,121908,0,38,677,18,30,1361,31,34,218
48,029,121909,91,69,1328,212,188,3291,24,108,164
48,029,121910,13,11,1369,103,14,2459,62,11,307
48,029,130200,15,0,734,29,103,1121,11,51,94
48,029,130300,113,20,1017,102,112,1674,72,50,196
48,029,130401,35,44,828,204,343,1855,60,237,180
48,029,130402,135,30,1312,176,256,1914,66,183,256
48,029,130500,29,50,1464,271,373,1663,104,191,187
48,029,130600,117,11,1585,342,471,1613,32,159,205
48,029,130700,0,6,426,160,149,1078,17,71,80
48,029,130800,237,0,1783,339,232,2605,103,137,230
48,029,130900,114,65,1385,166,324,1831,104,206,222
48,029,131000,75,14,1265,272,191,2250,224,220,344
48,029,131100,64,4,739,173,230,1144,77,107,146
48,029,131200,22,0,677,104,180,1306,61,140,282
48,029,131300,67,10,1737,407,472,2803,198,231,596
48,029,131401,119,49,2047,220,348,4093,189,114,260
48,029,131402,31,0,750,123,168,1432,30,71,145
48,029,131503,32,0,923,152,123,1756,140,119,373
48,029,131504,104,50,712,206,88,1804,50,114,263
48,029,131505,79,7,910,148,259,2139,9,76,133
48,029,131506,21,27,1154,202,88,1656,24,6,35
48,029,131507,98,0,2554,436,301,3238,78,38,208
48,029,131601,79,0,631,137,198,1498,56,27,107
48,029,131606,52,49,1420,232,231,2738,48,83,224
48,029,131608,38,51,1761,80,209,3098,44,78,207
48,029,131609,192,20,2959,511,330,4393,35,196,281
48,029,131610,89,0,1756,275,247,2941,47,54,37
48,029,131611,70,13,272,53,47,559,16,36,252
48,029,131612,7,50,609,41,98,999,24,0,22
48,029,131613,71,9,1555,170,155,2505,34,116,269
48,029,131614,59,0,1307,223,84,2066,109,61,122
48,029,131615,110,40,1680,312,165,4431,54,54,290
48,029,131700,15,5,451,12,11,381,0,0,2
48,029,131801,5,0,583,154,37,1334,79,83,233
48,029,131802,14,40,1293,213,187,3075,71,181,395
48,029,140100,69,0,313,104,102,926,39,60,86
48,029,140200,0,0,436,174,164,1258,91,118,261
48,029,140300,20,27,1065,113,104,1800,62,98,167
48,029,140400,8,28,890,321,123,1875,38,151,268
48,029,140500,47,0,886,144,203,2117,116,161,301
48,029,140600,13,0,873,147,101,1138,87,105,177
48,029,140700,51,0,1076,273,412,2233,113,237,288
48,029,140800,109,0,1361,396,319,2875,100,147,295
48,029,140900,0,8,560,94,86,915,19,92,149
48,029,141000,126,3,956,223,273,1677,39,130,166
48,029,141101,114,0,999,239,245,1892,48,171,235
48,029,141102,118,0,939,160,396,1466,55,115,215
48,029,141200,171,88,1554,388,239,3425,85,295,288
48,029,141300,130,21,1272,402,340,2946,104,139,304
48,029,141402,14,0,1292,137,101,2204,4,45,192
48,029,141403,8,9,941,112,284,2078,115,166,342
48,029,141404,47,18,1354,319,211,2587,239,98,334
48,029,141600,107,40,1649,208,138,2581,62,79,82
48,029,141700,73,8,1312,223,191,2676,62,128,267
48,029,141800,139,0,1368,261,199,2191,112,174,255
48,029,141900,45,25,1684,310,169,3166,59,271,523
48,029,150100,38,36,1354,300,199,2972,64,72,389
48,029,150300,55,11,1175,203,220,2468,135,281,181
48,029,150400,21,0,641,242,472,1582,52,184,401
48,029,150501,5,31,1345,192,194,2700,154,210,240
48,029,150502,89,0,1202,237,223,1921,52,207,300
48,029,150600,121,41,1228,273,235,2187,107,239,224
48,029,150700,145,0,1387,337,584,2824,110,315,391
48,029,150800,148,35,1467,76,176,1242,36,76,127
48,029,150900,25,0,1017,232,440,3302,146,165,441
48,029,151000,44,0,922,145,164,1611,39,170,187
48,029,151100,126,17,1587,388,324,3518,255,148,664
48,029,151200,216,45,2629,545,471,5388,152,271,474
48,029,151301,68,0,1576,333,141,2993,192,248,362
48,029,151302,40,12,886,211,200,1673,91,119,154
48,029,151400,19,7,1205,231,249,2520,35,130,305
48,029,151500,0,0,727,126,224,1288,48,133,125
