state,county,tract,B11016_003E,B11016_004E,B11016_005E,B11016_006E,B11016_007E,B11016_008E,B11016_010E,B11016_011E,B11016_012E,B11016_013E,B11016_014E,B11016_015E,B11016_016E
48,029,131504,391,234,192,56,0,25,265,29,24,0,0,0,0
48,029,131505,228,165,258,122,80,9,165,71,0,0,0,0,0
48,029,131506,215,257,171,80,22,41,291,15,6,0,0,0,0
48,029,131507,322,358,273,195,256,93,282,64,0,0,0,0,0
48,029,131601,244,272,59,55,85,0,131,19,11,8,0,0,0
48,029,131606,605,235,405,155,13,14,148,67,9,0,0,0,0
48,029,131608,561,263,400,136,21,47,456,126,0,0,0,0,0
48,029,131609,333,417,280,347,218,198,432,55,27,0,0,0,0
48,029,131610,293,419,412,149,96,23,118,38,0,0,0,0,0
48,029,131611,139,47,72,11,34,27,58,0,0,0,0,0,0
48,029,131612,58,162,126,31,32,32,71,15,0,0,0,0,0
48,029,131613,280,395,222,108,97,70,283,46,0,0,0,0,0
48,029,131614,240,122,206,140,150,37,198,14,0,0,0,0,0
48,029,131615,796,453,352,218,56,52,687,8,0,0,0,0,0
48,029,131700,39,50,114,31,20,5,8,0,0,0,1,0,0
48,029,131801,321,151,155,89,5,0,133,21,0,2,0,0,0
48,029,131802,454,347,246,122,123,36,413,39,0,0,0,0,0
48,029,140100,181,123,56,38,0,23,126,49,0,0,0,0,0
48,029,140200,286,153,76,47,18,2,318,72,37,0,0,0,0
48,029,140300,261,130,180,185,51,5,214,52,0,0,0,0,0
48,029,140400,252,269,187,113,8,35,425,44,0,0,0,0,0
48,029,140500,471,208,221,90,6,32,343,78,0,0,0,0,0
48,029,140600,196,125,108,67,37,39,208,53,0,0,15,0,0
48,029,140700,406,224,149,154,70,19,648,132,0,0,0,0,0
48,029,140800,324,266,126,220,79,114,396,90,8,0,0,0,0
48,029,140900,156,86,80,94,8,18,252,14,0,0,0,0,0
48,029,141000,275,177,136,74,56,45,308,117,0,0,0,0,0
48,029,141101,351,231,77,110,0,53,650,63,0,23,0,0,0
48,029,141102,391,150,149,21,90,17,327,93,25,0,0,0,0
48,029,141200,528,270,391,338,0,0,630,50,0,55,0,0,0
48,029,141300,420,254,386,226,38,13,433,55,0,8,0,0,0
48,029,141402,250,221,157,194,78,16,227,98,0,0,0,0,0
48,029,141403,400,306,171,45,98,0,248,125,0,0,0,0,0
48,029,141404,349,372,82,122,206,43,372,25,28,0,0,0,0
48,029,141600,140,316,373,216,70,32,216,9,0,0,0,0,0
48,029,141700,396,289,337,85,53,60,331,32,0,0,0,0,0
48,029,141800,342,150,217,152,29,101,325,65,0,0,0,0,0
48,029,141900,449,321,304,90,134,126,259,57,0,52,0,0,0
48,029,150100,352,331,92,164,105,71,615,92,16,0,0,0,0
48,029,150300,321,242,208,114,52,72,325,90,17,0,0,0,0
48,029,150400,299,77,211,76,34,55,485,68,0,0,0,0,0
48,029,150501,259,205,222,178,66,105,318,36,0,5,0,0,0
48,029,150502,289,146,124,136,92,92,187,26,0,0,0,0,0
48,029,150600,295,299,250,123,18,103,294,18,0,0,0,0,0
48,029,150700,288,418,348,171,123,0,505,19,33,0,0,0,0
48,029,150800,108,240,281,88,41,14,254,28,6,0,0,0,0
48,029,150900,486,336,93,159,36,81,613,167,21,0,0,10,0
48,029,151000,278,248,96,63,75,30,220,68,0,0,0,0,0
48,029,151100,423,432,171,136,164,172,283,87,0,0,0,0,0
48,029,151200,735,461,381,382,237,78,401,154,74,0,0,0,0
48,029,151301,408,274,230,240,54,119,340,19,0,0,0,0,0
48,029,151302,244,155,159,151,61,35,90,27,0,0,0,0,0
48,029,151400,327,245,149,155,104,76,279,0,0,4,0,0,0
48,029,151500,167,186,147,115,6,6,171,52,0,0,0,0,0
48,029,151600,838,457,249,172,89,99,386,130,0,0,0,0,0
48,029,151700,503,331,283,291,124,96,197,73,10,0,0,0,0
48,029,151900,319,451,349,179,128,40,145,75,0,13,0,0,0
48,029,152000,62,145,122,68,19,28,113,20,19,0,0,0,0
48,029,152100,337,262,340,131,12,56,258,42,0,21,0,0,5
48,029,152201,486,380,467,366,134,108,209,25,0,0,0,0,0
48,029,152202,265,319,184,83,42,129,167,43,0,0,0,0,0
48,029,160100,333,291,283,273,50,111,439,132,45,0,0,0,0
48,029,160200,240,131,124,27,21,30,200,36,0,0,0,0,0
48,029,160300,537,217,263,132,172,22,319,20,0,0,0,0,0
48,029,160400,363,385,202,113,23,21,220,109,0,0,0,0,0
48,029,160501,305,227,154,144,55,84,189,0,0,0,0,0,0
48,029,160502,273,188,197,166,72,22,202,44,36,0,0,0,0
48,029,160600,397,177,216,159,65,124,266,11,0,0,0,0,0
48,029,160701,293,128,199,53,30,64,151,57,0,0,0,0,0
48,029,160702,449,238,204,177,18,21,636,74,26,0,0,0,0
48,029,160901,158,165,112,136,43,24,218,5,0,0,0,0,0
48,029,160902,284,285,224,166,56,111,160,7,33,0,0,0,0
48,029,161000,276,234,225,35,59,34,331,14,41,0,20,0,0
48,029,161100,509,461,528,303,171,141,427,15,0,0,0,0,0
48,029,161200,133,164,154,126,39,37,117,23,0,0,0,0,0
48,029,161302,406,276,252,223,184,90,62,0,0,0,0,0,0
48,029,161303,185,213,172,98,138,166,118,21,0,0,0,0,0
48,029,161304,167,296,130,143,105,87,123,35,0,0,0,0,0
48,029,161400,87,55,119,36,25,27,13,0,0,0,0,0,0
48,029,161501,630,387,561,192,85,64,571,37,0,0,0,0,0
48,029,161503,171,249,120,152,53,98,291,38,0,0,0,0,0
48,029,161504,275,202,247,116,80,90,163,32,0,0,0,0,0
48,029,161600,296,145,258,190,31,125,231,40,0,0,0,0,0
48,029,161801,190,148,171,118,102,40,390,42,0,0,0,0,0
48,029,161802,393,296,355,244,200,161,169,117,0,0,0,0,0
48,029,161901,94,90,17,54,9,5,25,16,31,0,0,0,0
48,029,161902,528,392,239,277,126,94,441,61,0,0,56,0,0
48,029,162001,208,39,66,83,59,47,111,29,0,0,0,0,0
48,029,162003,420,285,147,183,101,61,254,89,4,21,0,0,0
48,029,162004,318,133,118,140,99,29,192,71,0,0,0,0,0
48,029,170101,190,129,171,87,54,110,225,64,25,22,0,0,0
48,029,170102,320,148,142,179,60,78,177,62,0,13,0,0,0
48,029,170200,349,373,181,123,116,51,445,69,26,0,0,0,0
48,029,170300,280,307,307,105,100,162,340,50,8,0,0,0,0
48,029,170401,232,179,235,172,72,31,416,15,0,0,0,0,0
48,029,170402,399,291,151,79,55,52,412,22,0,0,0,0,0
48,029,170500,349,188,229,222,25,8,496,44,0,0,0,0,0
48,029,170600,317,195,215,110,69,76,438,46,0,0,0,0,0
