state,county,tract,B16005B_003E,B16005B_005E,B16005B_006E,B16005B_008E,B16005B_010E,B16005B_011E,B16005C_003E,B16005C_005E,B16005C_006E,B16005C_008E,B16005C_010E,B16005C_011E,B16005D_003E,B16005D_005E,B16005D_006E,B16005D_008E,B16005D_010E,B16005D_011E,B16005E_003E,B16005E_005E,B16005E_006E,B16005E_008E,B16005E_010E,B16005E_011E,B16005F_003E,B16005F_005E,B16005F_006E,B16005F_008E,B16005F_010E,B16005F_011E,B16005G_003E,B16005G_005E,B16005G_006E,B16005G_008E,B16005G_010E,B16005G_011E,B16005H_003E,B16005H_005E,B16005H_006E,B16005H_008E,B16005H_010E,B16005H_011E,B16005I_003E,B16005I_005E,B16005I_006E,B16005I_008E,B16005I_010E,B16005I_011E
48,085,031628,154,8,0,22,11,0,10,0,0,0,0,0,0,10,0,0,72,55,0,0,0,0,0,0,20,33,0,0,0,17,16,68,0,0,22,43,1937,55,28,16,91,79,75,220,16,0,92,63
48,085,031629,130,20,13,0,13,64,1,10,0,0,0,0,29,41,9,36,30,228,9,0,0,0,0,0,0,0,0,0,0,0,70,8,0,0,18,14,1858,33,44,48,72,180,16,117,25,0,68,260
48,085,031630,87,14,0,24,32,0,16,0,0,0,0,0,32,36,74,23,129,102,0,0,0,0,0,0,75,24,0,0,0,0,69,0,0,0,0,0,2811,55,18,67,115,89,127,84,0,0,23,0
48,085,031631,805,0,0,40,13,0,0,0,0,0,0,0,52,103,13,0,158,337,0,0,0,0,0,0,47,0,0,0,0,0,169,0,0,0,0,0,2255,85,9,47,93,61,202,89,28,17,22,69
48,085,031632,292,0,0,0,0,0,7,18,0,0,0,0,207,59,67,122,357,253,0,0,0,0,0,0,0,40,0,0,17,0,156,39,0,0,0,0,2971,109,13,129,122,170,196,104,0,0,35,0
48,085,031633,470,0,43,5,0,51,3,0,0,0,0,0,50,63,7,13,70,116,8,0,0,0,0,0,11,0,0,0,9,11,30,0,0,0,0,23,1926,142,0,0,82,133,98,128,0,0,71,100
48,085,031634,110,0,0,0,0,0,0,0,0,0,0,0,32,0,69,24,53,47,0,0,0,0,0,0,0,48,0,0,89,35,35,0,0,0,9,100,1557,164,0,19,42,81,94,248,44,8,200,146
48,085,031635,447,0,0,7,41,121,32,0,0,0,0,0,0,45,10,39,118,390,0,0,0,0,0,0,14,95,0,0,0,42,178,0,18,7,0,33,1658,67,10,22,60,120,204,146,70,0,78,57
48,085,031636,189,0,0,0,20,0,24,0,0,0,0,0,69,47,19,40,346,466,0,0,0,0,0,0,0,0,0,0,0,0,302,0,10,0,29,0,3599,268,20,81,71,13,176,331,0,0,102,0
48,085,031637,281,0,0,0,47,0,0,0,0,0,0,0,246,293,20,165,623,137,0,0,0,0,0,0,0,33,0,0,0,0,70,0,0,0,0,0,3592,212,0,124,204,105,193,109,0,0,28,25
48,085,031638,66,0,0,0,0,42,21,0,0,0,0,0,279,419,104,187,1356,817,0,0,0,0,0,0,12,0,0,34,0,0,197,14,0,36,0,0,2691,108,12,64,28,0,239,22,0,33,48,31
48,085,031639,441,0,0,0,137,52,31,41,0,0,0,0,98,62,57,89,539,404,0,0,0,0,0,0,0,0,0,0,15,0,39,10,0,0,14,0,3002,127,30,33,91,78,153,304,26,0,93,63
48,085,031640,883,18,0,249,94,0,28,0,0,0,0,0,212,56,0,57,487,317,0,0,0,0,0,0,0,29,0,0,55,0,153,0,0,0,0,0,3605,72,16,176,214,36,267,180,0,0,136,0
48,085,031641,270,18,0,0,32,0,0,0,0,0,0,0,402,582,16,115,1511,837,0,0,0,0,0,0,0,10,0,0,10,0,55,0,0,0,8,0,2049,28,16,35,109,51,74,100,0,20,55,19
48,085,031642,169,0,0,0,0,0,0,0,0,0,0,0,74,98,32,11,488,351,0,0,0,0,0,0,0,0,0,25,0,0,75,8,0,0,0,0,2485,63,0,71,147,31,96,87,17,0,15,76
48,085,031643,313,0,0,0,13,0,0,0,0,0,0,0,37,67,62,20,239,315,0,0,0,0,0,0,8,15,0,0,62,0,82,6,0,0,9,12,2216,72,9,22,114,0,190,185,30,21,131,39
48,085,031645,47,0,0,0,0,0,0,0,0,0,0,0,127,28,6,28,115,30,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,1458,15,3,16,12,4,32,0,0,0,0,0
48,085,031646,85,0,0,38,35,0,0,0,0,0,0,0,148,164,0,0,563,117,0,0,0,0,0,0,0,37,0,7,118,38,113,20,0,8,26,0,3145,157,17,41,174,78,128,84,0,7,94,27
48,085,031647,112,0,0,0,20,10,16,0,0,0,0,0,67,25,0,41,163,75,0,0,0,0,0,0,0,50,0,0,91,12,68,12,0,0,0,0,1768,35,0,67,20,21,84,152,0,0,105,24
48,085,031648,469,0,0,85,35,0,0,0,0,0,0,0,265,131,21,325,221,301,0,0,0,0,0,0,15,78,0,0,118,36,219,48,0,27,43,0,4439,143,0,105,89,53,246,99,14,18,133,36
48,085,031649,230,0,0,0,25,0,8,0,0,0,0,0,158,0,22,58,81,121,0,0,0,0,0,0,0,0,0,0,5,0,92,21,13,0,47,0,2996,94,34,127,101,86,48,22,5,0,5,5
48,085,031652,444,0,0,37,18,27,0,0,0,0,0,0,217,232,0,221,819,750,0,0,0,0,0,0,0,0,17,0,0,0,176,0,0,22,0,0,3249,46,20,113,78,13,154,0,17,0,178,15
48,085,031653,137,0,0,0,140,64,19,6,0,0,0,0,70,276,0,10,436,572,34,0,0,0,0,0,102,16,32,52,0,36,125,0,0,0,63,0,3233,225,24,110,266,131,377,98,63,119,68,129
48,085,031654,102,0,0,0,0,0,76,0,0,0,0,0,125,182,30,37,385,218,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,1939,130,24,51,196,42,139,49,0,0,34,0
48,085,031655,454,0,0,0,0,0,0,10,0,0,0,0,67,63,20,23,186,218,0,0,0,0,0,0,75,31,0,0,20,0,263,23,0,0,11,17,2514,58,8,117,121,23,207,110,12,0,59,50
48,085,031656,198,0,0,0,0,0,0,0,0,0,0,0,92,104,0,22,255,72,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,1167,14,6,44,13,43,47,19,34,0,20,149
48,085,031657,199,0,0,21,0,0,24,0,0,0,0,0,109,24,0,17,142,21,0,0,0,0,0,0,4,0,0,28,0,0,0,0,0,0,0,0,1032,14,0,62,122,0,67,19,0,28,8,0
48,085,031658,275,0,0,41,19,0,30,0,0,0,0,0,20,48,33,68,235,173,0,0,0,0,0,0,12,15,0,0,22,15,158,0,0,0,0,0,2114,141,64,215,29,14,59,121,17,32,128,180
48,085,031659,72,0,0,26,0,0,5,0,0,0,0,0,53,38,19,21,223,511,0,0,0,0,0,0,0,0,18,0,26,0,17,0,0,0,23,0,714,18,0,22,38,16,73,41,18,0,54,58
48,085,031660,213,0,33,100,92,0,27,0,0,0,0,0,19,92,30,50,694,596,0,0,11,0,0,0,33,9,0,0,0,0,7,40,0,0,20,0,1370,38,24,53,0,0,133,31,20,0,66,71
48,085,031661,13,0,0,8,0,0,0,8,0,0,0,0,224,189,54,45,572,253,0,0,0,0,0,0,6,28,14,0,5,0,49,0,5,5,10,6,671,13,7,6,275,23,51,23,4,0,24,12
48,085,031662,478,0,0,0,11,0,50,0,0,0,0,0,292,414,52,80,814,325,0,0,0,0,0,0,0,0,0,0,4,0,69,8,0,7,16,26,1788,34,0,58,93,49,90,61,13,14,59,25
48,085,031663,22,0,0,0,4,0,29,0,0,0,0,0,162,135,57,66,597,276,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1574,7,0,77,21,42,65,57,0,0,58,0
48,085,031664,49,0,0,180,0,0,24,0,0,0,0,0,274,70,0,89,431,196,0,0,0,0,0,0,15,23,0,0,24,28,60,15,0,0,28,0,2094,82,15,28,62,0,70,116,0,0,90,38
48,085,031704,306,0,0,51,13,0,17,6,0,0,0,0,16,0,0,45,49,26,0,0,0,0,0,0,21,20,0,0,26,188,28,0,0,21,0,0,2089,48,7,92,42,7,117,86,12,0,49,281
48,085,031706,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,13,64,63,0,0,0,0,0,0,42,62,0,0,37,0,29,4,0,15,0,5,1634,60,0,71,30,2,51,62,0,0,37,0
48,085,031708,516,0,0,74,13,0,8,0,0,0,0,0,27,4,8,53,112,41,0,0,0,0,0,0,82,64,22,0,0,59,50,35,0,0,26,0,2064,57,0,56,54,50,93,136,22,0,23,121
48,085,031709,258,0,0,148,0,0,0,19,0,0,0,0,62,13,0,235,299,80,0,0,0,0,0,0,43,15,0,0,18,61,221,110,0,0,0,0,2027,34,0,248,196,8,252,126,0,0,18,97
48,085,031711,342,22,0,0,0,0,0,0,0,0,0,0,49,22,0,36,68,130,0,0,0,0,0,0,71,69,0,9,0,0,26,0,0,0,0,0,1725,26,8,39,51,44,10,15,21,9,29,20
48,085,031712,493,37,0,103,79,0,0,0,0,0,0,0,71,49,0,69,226,206,0,0,0,0,0,0,36,86,0,0,105,141,309,26,0,18,0,0,2320,0,0,48,57,123,228,119,0,0,123,163
48,085,031713,654,0,0,67,148,29,0,0,0,0,0,0,47,80,14,96,75,145,24,0,0,0,0,0,55,260,0,0,68,195,402,0,0,29,18,0,1283,87,15,15,17,46,152,260,0,0,68,195
48,085,031714,1394,80,0,33,120,13,0,0,0,0,0,0,14,74,29,111,69,55,0,0,0,0,0,0,80,173,76,0,28,236,120,0,0,0,0,0,2337,33,0,76,11,34,204,115,76,0,129,221
48,085,031715,91,82,0,6,0,0,0,0,0,0,0,0,55,71,15,103,98,58,0,0,0,0,0,0,7,9,0,0,10,0,56,24,0,0,0,0,1559,28,0,30,95,23,27,9,0,0,10,0
48,085,031716,202,7,9,0,14,0,2,0,0,0,0,0,34,18,0,53,30,48,0,0,0,0,0,0,0,0,0,0,0,30,0,19,0,0,0,0,1256,13,0,62,25,9,27,102,0,0,60,38
48,085,031717,244,0,0,0,9,89,0,0,0,0,0,0,18,24,17,156,208,198,0,0,0,0,0,0,37,112,6,0,0,37,125,10,0,0,0,0,491,241,36,15,172,203,121,126,6,0,2,37
48,085,031718,77,0,0,0,9,0,6,0,0,0,0,0,0,21,0,11,36,143,0,0,0,0,0,0,12,12,0,0,0,0,74,0,0,0,8,0,1299,78,0,49,281,171,28,12,29,0,66,32
48,085,031719,33,0,0,0,23,38,0,0,0,0,0,0,30,58,0,11,94,187,0,0,0,0,0,0,23,29,0,0,0,0,13,0,0,0,0,140,806,0,7,46,54,76,38,43,0,0,0,0
48,085,031720,506,0,0,15,143,17,0,0,0,0,0,0,40,82,0,110,345,344,0,0,0,0,0,0,51,277,66,35,39,883,169,14,47,0,27,12,654,0,0,0,0,66,98,310,121,73,124,933
48,085,031802,430,0,0,0,0,0,12,0,0,0,0,0,17,64,0,69,219,147,0,0,0,0,0,0,0,24,24,0,45,60,114,0,0,0,0,0,3093,88,0,115,54,73,32,257,43,0,184,396
48,085,031804,69,0,0,0,11,0,0,0,0,0,0,0,105,161,0,34,107,130,0,0,0,0,0,0,0,0,0,0,0,0,58,14,11,17,20,0,2776,63,0,52,13,8,27,147,0,0,60,0
48,085,031805,56,0,0,0,0,0,0,0,0,0,0,0,45,75,5,46,169,155,0,0,0,0,0,0,9,6,0,0,0,0,100,0,0,0,0,0,3785,86,31,53,28,37,158,58,0,13,9,34
48,085,031806,73,0,0,15,34,32,0,0,0,0,0,0,22,22,17,7,372,408,0,0,0,0,0,0,24,10,0,0,0,0,39,0,0,5,0,0,313,10,0,6,53,0,148,149,0,5,0,72
48,085,031807,33,0,0,0,0,0,47,0,0,0,0,0,0,40,34,0,86,73,14,0,0,0,0,0,31,0,0,0,0,0,11,0,0,0,0,0,3580,86,0,52,60,130,295,15,29,85,65,0
48,085,031900,599,8,0,7,74,0,0,0,0,0,0,0,0,11,0,0,19,18,0,0,0,0,0,0,59,169,30,0,54,205,38,0,0,7,15,49,966,20,7,0,32,9,282,448,178,0,163,1348
48,085,032003,454,13,0,3,0,62,38,0,0,0,0,0,0,0,0,0,56,26,0,0,0,0,0,0,17,47,30,12,75,145,48,0,0,0,0,0,1470,179,0,17,0,0,219,780,157,32,494,1141
