state,county,tract,B23001_005E,B23001_007E,B23001_008E,B23001_009E,B23001_012E,B23001_014E,B23001_015E,B23001_016E,B23001_019E,B23001_021E,B23001_022E,B23001_023E,B23001_026E,B23001_028E,B23001_029E,B23001_030E,B23001_033E,B23001_035E,B23001_036E,B23001_037E,B23001_040E,B23001_042E,B23001_043E,B23001_044E,B23001_047E,B23001_049E,B23001_050E,B23001_051E,B23001_054E,B23001_056E,B23001_057E,B23001_058E,B23001_061E,B23001_063E,B23001_064E,B23001_065E,B23001_068E,B23001_070E,B23001_071E,B23001_072E,B23001_075E,B23001_076E,B23001_077E,B23001_080E,B23001_081E,B23001_082E,B23001_085E,B23001_086E,B23001_087E,B23001_091E,B23001_093E,B23001_094E,B23001_095E,B23001_098E,B23001_100E,B23001_101E,B23001_102E,B23001_105E,B23001_107E,B23001_108E,B23001_109E,B23001_112E,B23001_114E,B23001_115E,B23001_116E,B23001_119E,B23001_121E,B23001_122E,B23001_123E,B23001_126E,B23001_128E,B23001_129E,B23001_130E,B23001_133E,B23001_135E,B23001_136E,B23001_137E,B23001_140E,B23001_142E,B23001_143E,B23001_144E,B23001_147E,B23001_149E,B23001_150E,B23001_151E,B23001_154E,B23001_156E,B23001_157E,B23001_158E,B23001_161E,B23001_162E,B23001_163E,B23001_166E,B23001_167E,B23001_168E,B23001_171E,B23001_172E,B23001_173E
48,439,111525,0,91,18,62,0,52,20,30,0,52,0,8,0,190,0,22,0,230,13,30,0,508,9,29,0,262,10,119,0,51,0,54,0,10,0,14,0,89,0,1,25,0,42,19,0,45,9,0,140,0,95,129,88,0,92,0,0,0,120,0,7,0,196,0,17,0,219,29,76,0,244,41,123,0,311,5,177,0,114,0,151,0,42,0,68,0,32,0,33,29,0,54,0,0,35,0,0,174
48,439,111526,0,52,6,25,0,33,0,10,0,87,0,0,0,133,31,12,0,55,0,0,0,232,44,16,0,222,15,44,0,101,8,8,0,44,0,39,0,75,0,11,41,0,35,7,0,7,8,0,56,0,0,0,171,0,47,9,0,0,69,0,22,0,190,0,9,0,118,0,46,0,192,26,63,0,229,4,24,0,132,0,52,0,26,20,28,0,31,0,0,9,0,109,26,0,96,10,0,103
48,439,111529,0,75,0,0,0,53,0,12,0,31,0,75,0,34,0,16,0,81,0,0,0,291,0,0,0,186,0,57,0,27,0,34,0,45,0,8,0,110,9,39,41,10,100,16,0,42,16,0,159,0,10,0,17,0,75,0,0,0,60,0,11,0,52,0,0,0,45,0,23,0,292,0,75,0,176,0,43,0,74,0,39,0,42,10,7,0,44,9,73,62,0,42,10,0,73,0,0,290
48,439,111530,0,77,0,52,0,33,0,0,0,97,0,0,0,136,22,18,0,47,0,0,0,320,22,0,0,349,0,13,0,213,0,63,0,110,0,15,0,173,0,48,129,0,103,0,0,110,31,0,132,0,63,20,100,0,148,0,0,0,44,0,0,0,103,0,43,0,123,0,8,0,234,13,82,0,231,0,142,0,245,0,146,0,86,0,14,0,100,14,79,0,13,154,0,0,76,0,0,278
48,439,111531,0,6,0,93,0,35,0,22,0,19,0,0,0,79,12,0,0,169,13,0,10,268,42,19,0,263,54,10,0,120,0,36,0,57,0,27,0,81,0,58,122,0,69,26,0,40,8,0,92,0,33,0,83,0,31,0,41,0,21,0,0,0,133,3,56,0,99,0,15,0,186,0,69,0,355,27,7,0,155,0,20,0,61,0,19,0,33,0,130,22,20,130,9,0,74,10,0,51
48,439,111532,0,9,71,53,0,99,0,12,0,49,0,0,0,312,40,15,0,201,0,0,0,539,0,0,0,474,22,40,0,84,67,23,0,83,0,16,0,105,0,27,91,0,57,13,0,62,45,0,129,0,97,0,102,0,27,0,11,0,61,0,45,0,229,0,27,0,261,0,42,0,468,66,98,0,482,23,141,0,260,0,103,0,26,0,18,0,60,0,25,72,0,171,13,0,79,12,0,128
48,439,111533,0,29,11,61,0,53,0,63,0,99,10,0,0,135,0,13,0,81,0,3,0,308,0,31,0,258,0,28,0,120,0,49,0,73,0,52,0,112,0,31,20,0,33,21,0,88,0,0,94,0,11,0,149,0,57,0,38,0,88,0,0,0,141,0,48,0,93,4,10,0,248,27,63,0,261,0,79,0,192,11,31,0,15,0,101,0,81,15,61,52,0,113,0,0,74,13,0,72
48,439,111534,0,72,0,144,0,32,0,23,0,32,30,41,0,293,0,0,0,230,0,19,0,390,29,48,0,327,0,123,0,284,0,41,0,52,0,0,0,35,0,0,24,0,179,30,12,65,11,0,25,0,53,0,100,0,0,0,0,0,48,11,0,0,257,0,63,0,171,25,19,0,292,0,119,0,428,26,51,0,115,0,142,0,78,0,0,0,18,12,70,60,0,79,25,0,45,15,0,72
48,439,111536,0,37,0,85,0,66,0,29,0,63,0,43,0,113,16,33,0,73,0,0,0,318,0,0,0,189,8,9,0,63,0,0,0,10,0,8,0,11,0,8,0,0,0,7,0,15,15,0,0,0,17,0,57,0,42,62,12,0,89,8,52,0,72,17,18,0,107,0,0,0,242,30,9,0,158,23,37,0,24,0,16,0,18,0,22,0,0,0,15,0,0,70,23,0,0,0,0,0
48,439,111537,0,127,78,35,0,24,0,0,0,119,0,30,0,180,49,39,0,133,53,0,0,480,0,5,0,362,0,24,0,208,0,26,0,45,9,0,0,67,0,13,28,12,28,23,0,28,0,0,76,0,111,0,15,0,46,48,204,0,131,32,62,0,267,0,66,0,88,81,87,0,448,0,74,0,444,0,37,0,71,0,48,0,29,7,57,0,13,0,15,59,0,24,0,0,34,18,0,32
48,439,111538,0,30,13,40,0,72,30,129,0,276,32,0,0,218,13,0,0,362,0,0,0,311,18,8,0,330,14,0,0,40,0,25,0,66,0,24,0,61,0,22,34,0,0,0,0,43,0,0,33,0,0,0,50,0,62,0,0,0,159,58,3,0,206,0,0,0,217,31,45,0,290,0,128,0,394,0,102,0,144,0,22,0,0,0,35,0,89,0,18,34,32,15,0,0,0,0,0,0
48,439,111539,0,201,10,225,0,94,37,0,0,121,0,0,0,31,0,31,0,301,10,44,0,538,17,0,0,712,18,73,0,216,65,0,0,61,0,17,0,69,57,12,77,0,9,0,0,69,0,0,23,0,175,21,96,0,138,0,37,0,98,0,33,0,130,0,53,0,351,51,62,0,531,99,129,0,634,83,189,0,182,0,102,0,39,24,11,0,60,0,75,49,18,42,14,0,40,11,0,52
48,439,111540,0,29,14,258,0,31,37,0,0,147,0,16,0,127,49,0,0,190,0,64,0,214,20,47,0,742,25,0,0,126,0,51,0,54,0,0,0,0,0,41,22,0,8,0,0,12,0,0,29,0,58,0,202,0,236,0,106,0,217,19,26,0,158,0,8,0,249,19,62,0,130,79,137,0,595,0,138,0,121,0,53,0,0,0,15,0,11,0,20,0,0,16,0,0,32,0,0,47
48,439,111541,0,29,15,62,0,0,0,16,0,94,0,45,0,106,29,0,0,124,11,17,0,283,26,3,0,331,66,13,0,29,0,0,0,34,0,0,0,7,13,31,20,0,30,0,0,5,26,0,0,0,39,8,24,0,0,0,19,0,60,0,30,0,78,0,40,0,40,6,45,0,298,6,72,0,235,33,52,0,34,59,10,0,44,0,29,0,12,0,25,0,0,57,0,0,44,0,0,38
48,439,111542,0,119,36,184,0,49,19,37,0,86,0,25,0,136,24,19,0,186,6,34,0,417,0,30,0,483,13,19,0,91,5,56,0,59,0,0,0,0,0,22,19,0,25,0,0,29,0,0,67,0,111,29,171,0,6,0,0,0,21,0,0,0,117,23,0,0,197,37,65,0,515,0,70,0,447,15,94,0,154,17,35,0,18,8,17,0,29,0,14,11,0,75,0,0,32,0,0,40
48,439,111543,0,12,20,285,0,68,0,0,0,185,0,45,0,397,23,65,0,221,0,18,0,265,0,53,0,303,8,80,0,103,0,36,0,45,0,0,0,0,0,11,29,0,15,0,0,0,18,0,44,0,63,1,164,0,45,0,19,0,96,21,77,0,203,26,109,0,213,1,86,0,424,16,44,0,322,0,187,0,145,0,50,0,0,0,22,0,39,0,0,0,0,31,0,0,37,0,0,49
48,439,111544,0,23,11,163,0,221,0,0,0,205,13,0,0,136,0,0,0,87,29,13,0,507,37,59,0,502,15,2,0,154,15,11,0,25,0,0,0,39,17,15,26,0,37,17,0,14,0,0,27,0,12,41,107,0,71,20,71,0,85,11,76,0,155,21,35,0,213,26,57,0,526,0,154,0,499,8,117,0,67,8,49,0,71,15,0,0,37,13,24,0,0,95,0,0,68,0,0,116
48,439,111545,0,5,0,40,0,28,0,0,0,19,0,5,0,42,0,9,0,88,0,0,0,79,5,24,0,173,6,39,0,119,5,0,0,45,0,0,0,18,0,29,47,0,29,4,0,57,0,0,48,0,5,0,81,0,18,0,6,0,31,0,13,0,101,4,13,0,52,0,0,0,70,0,12,0,150,8,91,0,100,0,65,0,41,0,11,0,9,0,30,29,0,31,0,0,60,0,0,67
