state,county,tract,B08006_020E,B08006_021E,B08006_025E,B08006_031E,B08006_032E,B08006_033E,B08006_034E,B08006_037E,B08006_038E,B08006_042E,B08006_048E,B08006_049E,B08006_050E,B08006_051E
48,029,121122,1244,111,35,6,0,0,9,1217,114,0,0,0,18,36
48,029,121203,932,124,34,0,28,12,55,694,98,32,0,24,0,12
48,029,121204,1587,55,175,61,47,18,32,1645,144,148,0,0,35,38
48,029,121205,747,137,27,11,0,12,22,633,115,61,0,0,0,8
48,029,121206,1522,168,35,0,0,17,0,1376,191,23,0,18,9,15
48,029,121300,1325,73,57,0,12,0,15,840,189,33,0,8,0,0
48,029,121402,1070,123,26,0,0,33,10,917,123,7,0,0,58,24
48,029,121403,695,134,130,8,9,57,0,749,167,31,11,30,48,12
48,029,121404,797,26,10,0,0,28,0,527,104,94,0,42,58,0
48,029,121501,2224,160,29,0,38,12,94,1398,174,23,0,28,0,18
48,029,121504,1858,199,19,0,10,33,46,1410,170,64,0,0,15,90
48,029,121505,1015,125,44,41,9,14,21,942,118,9,0,27,21,32
48,029,121506,851,161,51,0,0,34,8,770,101,95,0,8,10,33
48,029,121507,687,103,21,0,0,50,11,894,49,22,0,0,0,17
48,029,121508,745,232,26,0,21,0,0,605,99,36,0,0,0,21
48,029,121601,873,209,0,0,60,55,19,870,163,0,0,55,17,18
48,029,121604,1941,167,0,0,60,8,48,1700,231,0,0,0,0,40
48,029,121605,391,27,2,0,6,0,8,390,35,0,0,5,0,0
48,029,121606,1220,289,0,0,0,15,38,884,101,10,0,0,0,155
48,029,121701,708,144,0,33,73,9,11,653,91,0,0,0,18,0
48,029,121702,1660,481,4,0,3,38,44,1243,150,0,0,23,0,88
48,029,121802,2047,172,0,0,44,26,33,1283,252,46,0,62,0,56
48,029,121803,1010,185,7,12,11,15,21,943,144,27,0,0,4,88
48,029,121804,1164,162,0,0,84,52,11,1406,192,46,0,22,31,39
48,029,121808,699,80,16,0,0,0,0,722,119,6,0,0,0,15
