state,county,tract,Citizen,Naturalized Citizen,Not a U.S. Citizen,English,Speaks Spanish,Speaks Other Language
48,029,160701,2837,105,202,755,2389,0
48,029,160702,3787,143,528,1363,3059,36
48,029,160901,2087,141,415,684,1865,94
48,029,160902,3606,210,1038,1250,3604,0
48,029,161000,2811,152,527,1147,2333,10
48,029,161100,6735,612,1398,2413,6321,11
48,029,161200,2452,60,109,1349,1268,4
48,029,161302,3959,331,1269,1715,3833,11
48,029,161303,3939,221,697,1617,3223,17
48,029,161304,3247,214,619,1551,2499,30
48,029,161400,7211,190,297,6511,586,601
48,029,161501,6256,227,664,3464,3531,152
48,029,161503,2812,286,527,1379,2184,62
48,029,161504,3090,159,1013,1832,2388,42
48,029,161600,3661,277,420,2331,1887,140
48,029,161801,3227,105,142,1845,1549,80
48,029,161802,5374,463,727,2854,3626,84
48,029,161901,866,23,218,546,561,0
48,029,161902,7810,399,1092,4556,4689,56
48,029,162001,1799,46,248,1038,1028,27
48,029,162003,4267,135,454,2505,2322,29
48,029,162004,2550,196,595,1091,2250,0
48,029,170101,1979,329,1164,411,3061,0
48,029,170102,2673,302,840,631,3184,0
48,029,170200,3789,287,775,1151,3699,1
48,029,170300,4390,330,1321,1295,4716,30
48,029,170401,2916,240,621,1089,2671,17
48,029,170402,3072,225,612,825,3076,8
48,029,170500,2929,448,857,1357,2857,20
48,029,170600,3499,316,596,1754,2619,38
48,029,170700,3440,369,548,1206,3119,32
48,029,170800,1034,63,57,297,857,0
48,029,170900,2627,209,503,952,2300,87
48,029,171000,4553,173,1039,1218,4547,0
48,029,171100,2891,150,494,658,2877,0
48,029,171200,3373,212,342,832,3095,0
48,029,171301,2215,155,290,679,1981,0
48,029,171302,4033,102,206,2354,1896,91
48,029,171401,3771,213,496,1881,2589,10
48,029,171402,4146,196,712,1352,3684,18
48,029,171501,2068,84,194,673,1673,0
48,029,171502,3460,239,1004,1085,3604,14
48,029,171601,3319,405,614,1433,2905,0
48,029,171602,3079,95,157,1513,1818,0
48,029,171700,5858,195,752,3035,3621,149
48,029,171801,4566,257,651,2629,2790,55
48,029,171802,5332,191,707,2910,3306,14
48,029,171902,8921,684,657,5275,4356,631
48,029,171903,5508,289,437,3295,2781,158
48,029,171912,5092,426,383,3888,1781,232
48,029,171913,4040,233,453,2521,2119,86
48,029,171914,4933,298,218,3512,1886,51
48,029,171915,2001,50,86,1558,558,21
48,029,171916,5953,519,502,4277,2485,212
48,029,171917,7658,712,159,6395,1819,315
48,029,171918,4459,470,442,2747,2222,402
48,029,171919,2882,233,302,1643,1734,40
48,029,171920,7451,363,461,4912,3151,212
48,029,171921,4057,473,509,2501,2377,161
48,029,171922,2706,239,129,1726,1312,36
48,029,171923,7001,528,793,4721,2726,875
48,029,171924,4167,362,287,2974,1536,306
48,029,171925,7485,843,341,5619,2274,776
48,029,172002,8383,340,183,6490,2168,248
48,029,172003,4959,206,518,4150,1041,492
48,029,172004,3366,182,147,2737,763,195
48,029,172005,4043,328,285,3335,896,425
48,029,172006,6474,289,185,5258,1402,288
48,029,172007,7509,609,323,6135,2034,272
48,029,180101,3899,239,467,1910,2666,29
48,029,180102,1634,208,12,992,861,1
48,029,180201,3056,330,945,1667,2581,83
48,029,180202,3929,177,502,2377,2178,53
48,029,180300,3381,159,289,1820,2006,3
48,029,180400,3046,118,733,1557,2323,17
48,029,180501,3605,309,648,2069,2410,83
48,029,180503,3531,271,411,1295,2904,14
48,029,180504,3533,167,603,1488,2815,0
48,029,180602,2668,210,148,1601,1296,129
48,029,180603,1403,49,29,991,426,64
48,029,180604,5071,215,493,2881,2865,33
48,029,180701,3206,398,202,2011,1523,272
48,029,180702,5842,111,540,3943,2311,239
48,029,180800,1787,65,286,1111,981,46
48,029,180901,4587,357,353,2728,2511,58
48,029,180902,5542,511,1013,3095,3944,27
48,029,181001,2844,220,551,1793,1761,61
48,029,181003,4186,380,874,3168,1674,598
48,029,181004,4003,380,500,2525,1940,418
48,029,181005,2867,57,575,1663,1548,288
48,029,181100,5248,505,294,3887,1881,279
48,029,181200,3955,174,167,3134,1078,84
48,029,181301,3773,263,292,2978,1046,304
48,029,181302,5128,219,423,3677,1759,334
48,029,181303,1832,116,1197,1400,583,1162
48,029,181402,1818,62,284,1383,518,263
48,029,181403,4802,422,861,3679,1586,820
48,029,181404,2739,247,1699,2427,476,1782
48,029,181503,5834,404,318,4710,1260,586
48,029,181504,4693,241,655,3151,2028,410
48,029,181505,4119,297,133,3040,1474,35
48,029,181506,3544,199,470,2282,1763,168
48,029,181601,2597,120,235,1740,1203,9
48,029,181602,4985,455,513,2796,2701,456
48,029,181703,5999,424,167,5167,1122,301
48,029,181704,4520,506,393,2834,2266,319
48,029,181705,4001,395,612,3011,1421,576
48,029,181711,6562,645,303,4694,2196,620
48,029,181712,3293,220,51,2393,1106,65
48,029,181713,6866,333,197,4939,2317,140
