state,county,tract,B11001B_003E,B11001B_005E,B11001B_006E,B11001B_008E,B11001B_009E,B11001C_003E,B11001C_005E,B11001C_006E,B11001C_008E,B11001C_009E,B11001D_003E,B11001D_005E,B11001D_006E,B11001D_008E,B11001D_009E,B11001E_003E,B11001E_005E,B11001E_006E,B11001E_008E,B11001E_009E,B11001F_003E,B11001F_005E,B11001F_006E,B11001F_008E,B11001F_009E,B11001G_003E,B11001G_005E,B11001G_006E,B11001G_008E,B11001G_009E,B11001H_003E,B11001H_005E,B11001H_006E,B11001H_008E,B11001H_009E,B11001I_003E,B11001I_005E,B11001I_006E,B11001I_008E,B11001I_009E
48,013,960201,7,0,0,0,0,20,0,0,0,0,0,0,8,0,0,0,0,0,0,0,78,24,79,18,0,45,26,0,0,0,561,41,64,115,57,715,101,234,265,7
48,013,960202,11,27,0,0,0,71,0,0,0,0,20,0,0,0,0,0,0,0,0,0,209,27,77,17,29,14,0,0,7,0,597,72,51,214,109,991,104,266,143,29
48,013,960300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,92,10,0,15,0,5,0,0,69,0,63,32,0,385,133,310,176,0
48,013,960401,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,22,0,17,52,0,17,0,0,6,0,133,10,23,68,0,288,48,106,75,0
48,013,960402,0,0,34,0,0,0,0,0,7,0,0,0,0,10,0,0,0,0,0,0,31,20,70,0,0,59,0,0,25,0,888,29,121,315,51,544,81,208,216,33
48,013,960500,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,5,0,0,8,0,11,16,182,14,15,40,6,330,42,125,182,33
48,013,960600,4,0,0,0,0,6,0,0,16,0,36,0,0,0,0,0,0,0,0,0,23,4,0,0,0,54,0,0,1,0,755,63,78,255,65,499,145,106,298,18
48,015,760100,81,2,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,5,17,0,0,8,0,8,0,348,27,84,99,21,96,33,24,44,0
48,015,760200,158,32,37,125,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,77,0,31,30,11,0,0,0,635,19,127,397,18,222,23,135,96,31
48,015,760300,99,0,58,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,18,10,14,0,0,0,0,35,0,1231,9,156,459,34,229,74,99,63,0
48,015,760400,25,0,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,5,0,1004,15,34,231,9,2,0,0,0,0
48,015,760501,22,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,40,0,0,0,0,0,0,1001,19,94,385,0,127,0,10,72,0
48,015,760502,71,0,21,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,13,0,0,0,0,800,71,25,624,22,215,0,69,36,55
48,017,950100,28,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,64,36,90,71,0,13,0,0,0,0,749,35,43,215,44,657,60,202,354,0
48,019,000101,0,0,0,0,0,0,0,0,11,0,4,0,11,0,0,0,0,0,0,0,2,0,3,0,0,11,0,0,4,0,944,17,172,565,44,60,7,4,58,0
48,019,000102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,25,0,0,1086,12,71,373,98,178,0,0,30,0
48,019,000200,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,665,33,52,200,34,32,0,9,0,41
48,019,000300,4,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,29,0,68,21,0,1385,126,56,494,21,150,0,152,73,82
48,019,000400,0,0,0,0,0,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,30,0,0,7,0,0,0,0,26,0,337,65,125,347,18,48,30,11,31,0
48,021,950100,42,0,0,0,0,14,0,0,0,0,21,0,0,0,0,0,0,0,0,0,95,0,15,0,40,3,0,18,72,0,1403,112,278,442,42,567,68,57,91,42
48,021,950200,56,0,238,123,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,28,19,14,14,0,36,0,0,776,13,115,362,45,625,15,173,162,14
48,021,950300,280,32,89,37,0,0,54,0,0,0,63,0,0,0,0,0,0,0,0,0,13,0,8,0,0,0,0,0,0,33,2227,168,160,563,251,359,66,113,59,51
48,021,950400,95,16,65,198,0,0,0,22,18,0,32,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,34,0,1039,57,180,858,114,237,0,56,126,0
48,021,950501,21,0,22,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,6,0,65,0,0,0,0,653,94,216,269,37,343,91,75,24,69
48,021,950502,103,0,0,17,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,20,56,438,55,148,71,26,0,0
48,021,950600,0,22,0,15,0,0,13,7,21,0,0,0,0,0,0,0,0,0,0,0,46,0,0,11,48,48,0,0,15,0,826,166,83,437,43,148,29,46,32,48
48,021,950700,36,0,146,132,0,0,0,0,27,0,16,0,0,0,0,0,0,0,0,0,45,0,14,24,0,0,0,0,0,0,459,31,164,415,20,91,36,33,56,0
