state,county,tract,B16008_006E,B16008_007E,B16008_009E,B16008_010E,B16008_014E,B16008_015E,B16008_017E,B16008_018E,B16008_022E,B16008_024E,B16008_025E,B16008_027E,B16008_028E,B16008_030E,B16008_032E,B16008_033E,B16008_035E,B16008_036E,B16008_039E,B16008_041E,B16008_042E,B16008_044E,B16008_045E,B16008_047E,B16008_049E,B16008_050E,B16008_052E,B16008_053E
48,439,113907,54,0,25,12,81,39,25,10,0,0,0,0,0,193,25,9,163,36,0,0,0,67,12,33,35,42,80,23
48,439,113908,9,10,65,38,58,29,122,0,34,0,0,0,0,206,8,23,82,34,0,0,0,0,0,22,11,12,52,18
48,439,113909,29,17,75,0,125,0,39,0,0,0,0,0,0,30,21,21,182,42,10,0,0,32,0,91,0,0,60,0
48,439,113910,3,2,51,22,61,28,220,33,34,0,0,11,0,151,45,46,102,30,0,0,0,0,0,2,2,25,10,3
48,439,113911,23,37,65,0,333,36,66,0,0,0,0,16,0,54,0,67,48,45,15,0,0,31,0,61,24,79,103,103
48,439,113912,14,12,120,0,108,24,141,0,49,0,0,14,0,46,29,0,95,40,0,0,0,0,0,66,0,0,0,0
48,439,113916,68,167,14,0,272,134,9,19,0,0,0,0,0,0,5,11,7,19,0,0,38,0,0,38,23,45,28,0
48,439,113917,207,44,77,95,149,165,141,0,0,0,0,48,0,14,22,180,361,163,0,21,66,23,53,17,62,188,165,224
48,439,113918,26,0,10,0,167,26,72,0,0,0,0,0,0,6,27,24,91,116,0,12,0,0,0,30,7,32,134,50
48,439,113919,72,17,77,0,353,39,20,11,0,0,0,0,0,166,22,0,124,94,0,0,0,0,0,18,43,41,17,68
48,439,113920,106,16,20,0,244,31,111,0,0,0,0,0,0,62,7,19,159,47,0,0,0,0,7,0,25,30,12,100
48,439,113921,471,35,55,0,446,35,166,0,0,0,0,59,0,132,247,105,500,254,102,0,0,50,162,96,48,55,237,357
48,439,113922,282,41,365,44,815,87,58,26,0,0,0,64,0,160,41,225,346,415,59,0,0,99,44,86,33,104,478,11
48,439,113923,96,9,83,0,282,28,13,43,0,0,0,0,0,41,24,32,116,117,0,8,0,0,0,0,59,24,39,24
48,439,113924,132,21,118,8,200,78,2,2,0,0,0,0,0,59,68,141,17,61,0,0,0,0,0,18,0,134,0,19
48,439,113925,92,12,0,19,322,0,17,0,0,0,0,85,0,0,57,0,51,108,0,0,0,0,0,25,64,40,0,28
48,439,113926,194,57,264,0,795,125,259,0,46,0,0,6,0,112,145,137,132,132,0,18,0,42,0,58,89,140,317,150
48,439,113927,158,0,12,0,199,178,118,0,0,0,0,0,0,203,103,29,159,39,22,0,0,0,0,164,19,0,17,49
48,439,113928,327,22,0,60,336,21,54,0,0,0,0,0,0,58,498,104,132,19,0,17,0,0,0,80,43,71,21,39
48,439,113929,182,0,54,22,183,11,64,0,0,0,0,0,18,71,129,42,119,145,0,0,0,10,0,64,14,44,15,11
48,439,114003,434,74,70,0,707,254,35,0,0,5,0,0,0,17,83,142,48,58,0,21,17,0,0,65,75,454,21,0
48,439,114005,287,0,0,0,419,0,93,0,0,0,0,0,0,0,71,166,11,27,0,0,0,0,0,11,20,100,12,0
48,439,114006,34,15,16,0,221,58,12,0,0,0,0,0,0,15,0,26,0,0,0,0,0,0,0,0,0,47,0,0
48,439,114007,797,60,59,47,1026,193,166,64,0,46,0,35,0,291,276,257,123,425,0,174,0,0,0,0,101,425,123,220
48,439,114008,476,146,98,11,800,100,234,67,0,0,18,0,0,123,157,229,336,117,88,0,0,45,0,17,201,210,189,31
48,439,114102,27,21,54,0,179,87,0,27,0,0,0,0,0,186,9,6,101,45,42,0,0,0,0,80,15,0,0,52
48,439,114103,597,12,172,0,641,0,79,24,0,0,0,0,0,238,74,93,201,90,0,0,12,0,0,20,160,135,13,165
48,439,114104,147,0,0,0,204,14,19,0,0,0,0,0,0,45,0,0,27,0,0,0,0,0,0,0,17,0,0,0
48,439,114203,39,7,2,0,62,27,9,0,0,0,0,0,0,0,15,29,0,0,0,0,6,0,0,22,0,21,12,0
48,439,114204,0,0,0,0,109,2,4,0,15,64,0,0,0,35,23,0,25,0,0,0,0,15,0,0,0,22,0,0
48,439,114205,26,0,0,0,70,27,0,0,0,0,0,0,0,15,9,0,0,32,0,0,0,0,0,15,0,0,9,0
48,439,114206,124,29,8,0,177,145,10,0,0,0,0,0,0,11,17,29,65,0,0,0,0,0,0,27,59,57,0,0
48,439,114207,126,0,0,0,210,43,91,0,0,0,0,0,0,157,44,100,56,16,0,0,0,0,0,11,32,57,15,0
48,439,121601,435,123,24,0,278,0,14,9,0,0,0,0,0,52,24,117,113,43,0,96,122,0,0,28,169,596,18,32
48,439,121604,111,151,20,0,111,92,0,0,0,0,0,0,0,43,0,7,24,34,0,97,13,0,0,0,0,533,15,0
48,439,121605,75,32,0,0,164,10,10,0,0,0,0,40,0,36,78,9,127,19,0,0,0,0,0,0,26,37,0,0
48,439,121606,0,0,106,0,132,0,54,0,0,0,0,0,0,24,29,0,72,106,0,0,0,0,0,22,0,0,8,8
