state,county,tract,travel.time.to.work_less than 10 minutes,travel.time.to.work_10 to 14 minutes,travel.time.to.work_15 to 19 minutes,travel.time.to.work_20 to 24 minutes,travel.time.to.work_25 to 29 minutes,travel.time.to.work_30 to 34 minutes,travel.time.to.work_35 to 44 minutes,travel.time.to.work_45 to 59 minutes,travel.time.to.work_60 minutes or more
48,029,121909,1590,2540,5820,10240,6075,11685,13850,5205,14040
48,029,121910,540,1740,4845,5945,5325,11310,7050,11765,15460
48,029,130200,,,,,,,,,
48,029,130300,415,2720,6390,1920,1150,2220,2005,,5220
48,029,130401,,,,,,,,,
48,029,130402,,,,,,,,,
48,029,130500,1020,2240,2880,4800,1050,6450,1540,3240,7905
48,029,130600,665,1780,3915,6440,2150,3120,1565,1530,3300
48,029,130700,,,,,,,,,
48,029,130800,,,,,,,,,
48,029,130900,,,,,,,,,
48,029,131000,,,,,,,,,
48,029,131100,530,1540,3680,3335,2250,3510,1830,1420,3500
48,029,131200,,,,,,,,,
48,029,131300,,,,,,,,,
48,029,131401,1410,4570,8400,16405,8500,11520,9325,7335,9800
48,029,131402,915,770,1710,4220,4270,3180,3120,2475,9070
48,029,131503,1275,2420,5400,5980,2100,6300,2035,3530,3960
48,029,131504,990,1450,6780,3840,2725,8910,4755,3645,
48,029,131505,,,,,,,,,
48,029,131506,,,,,,,,,
48,029,131507,1225,2615,10500,8420,3700,9270,4485,4085,7890
48,029,131601,285,1480,1695,6615,3125,3810,6055,3555,10350
48,029,131606,865,1920,6710,4745,6075,14520,9995,9360,9200
48,029,131608,650,4860,6420,7425,4650,12960,4340,6885,6090
48,029,131609,385,6430,8415,12550,8300,27420,10390,16510,9780
48,029,131610,670,3050,5000,10310,8925,19590,6195,9225,13290
48,029,131611,,,,,,,,,
48,029,131612,,,,,,,,,
48,029,131613,,,,,,,,,
48,029,131614,,,,,,,,,
48,029,131615,1675,1230,12315,14620,12250,17040,10475,5535,10285
48,029,131700,,,,,,,,,
48,029,131801,365,540,1485,2360,2350,8520,6150,9330,4030
48,029,131802,660,1515,3685,11680,4925,19140,6900,11135,17910
48,029,140100,,,,,,,,,
48,029,140200,,,,,,,,,
48,029,140300,,,,,,,,,
48,029,140400,,,,,,,,,
48,029,140500,980,2755,7150,7735,3075,2970,2315,4035,5100
48,029,140600,,,,,,,,,
48,029,140700,980,2290,7530,4335,1800,6960,5450,4090,6230
48,029,140800,1055,3535,8125,8825,3400,6150,2000,7805,4600
48,029,140900,380,1415,2445,1980,650,2250,2885,1255,2540
48,029,141000,,,,,,,,,
48,029,141101,,,,,,,,,
48,029,141102,,,,,,,,,
48,029,141200,1910,5010,6330,9920,6050,11520,4480,10360,25905
48,029,141300,1210,3300,7530,9845,5110,11310,3385,4185,8820
48,029,141402,785,2155,6505,5515,2900,12150,3720,2340,6780
48,029,141403,1135,2070,2970,6960,2680,7350,8490,5445,12120
48,029,141404,920,3490,5190,7280,6775,7800,2880,2925,20280
48,029,141600,,,,,,,,,
48,029,141700,1315,2630,5765,7150,8025,8040,4625,4460,10680
48,029,141800,555,1485,2045,4840,4000,15395,4555,8770,8885
48,029,141900,930,2460,3645,4400,1475,19290,11455,16790,5940
48,029,150100,1265,4820,8600,8560,1450,7230,3670,2025,6080
48,029,150300,,,,,,,,,
48,029,150400,,,,,,,,,
48,029,150501,275,1440,3930,7520,3255,11250,4205,8480,14365
48,029,150502,650,3220,5345,4020,2180,4990,2610,5260,8070
48,029,150600,,,,,,,,,
